UMTS RSCP (dBm)
<= -101;90852;0.5346719946327999
-94 to -101;31735;0.18676326057403148
-15 to -94;47334;0.2785647447931686

UMTS Ec/Io (dB)
-34 to -14;38553;0.2268877890313734
-14 to 0;131368;0.7731122109686266

UMTS Band
UMTS 900;73917;0.43500803314481434
UMTS 2100;96004;0.5649919668551856

